show,year,bin,episodes,tokens,types,path
Golgo_13,1983,1983-1985,50,15654,2683,heaps_corpus/1983-1985/Golgo_13.txt
Dragon_Ball,1986,1986-1988,153,68122,5102,heaps_corpus/1986-1988/Dragon_Ball.txt
City_Hunter,1987,1986-1988,51,18855,3060,heaps_corpus/1986-1988/City_Hunter.txt
Akira,1988,1986-1988,1,2331,733,heaps_corpus/1986-1988/Akira.txt
Appleseed,1988,1986-1988,1,1049,433,heaps_corpus/1986-1988/Appleseed.txt
Tonari_no_Totoro,1988,1986-1988,1,1057,361,heaps_corpus/1986-1988/Tonari_no_Totoro.txt
Arslan_Senki,1991,1989-1991,26,12745,2229,heaps_corpus/1989-1991/Arslan_Senki.txt
Omoide_Poro-poro,1991,1989-1991,1,1679,531,heaps_corpus/1989-1991/Omoide_Poro-poro.txt
Yu_Yu_Hakusho,1992,1992-1994,58,14640,2383,heaps_corpus/1992-1994/Yu_Yu_Hakusho.txt
Jojo's_Bizarre_Adventure,1993,1992-1994,26,12869,2332,heaps_corpus/1992-1994/Jojo_s_Bizarre_Adventure.txt
Marmalade_Boy,1994,1992-1994,76,27114,2789,heaps_corpus/1992-1994/Marmalade_Boy.txt
Ghost_in_the_Shell,1995,1995-1997,1,143,116,heaps_corpus/1995-1997/Ghost_in_the_Shell.txt
Mononoke_Hime,1997,1995-1997,1,1059,435,heaps_corpus/1995-1997/Mononoke_Hime.txt
Revolutionary_Girl_Utena,1997,1995-1997,39,15807,1835,heaps_corpus/1995-1997/Revolutionary_Girl_Utena.txt
Cowboy_Bebop,1998,1998-2000,26,10802,2136,heaps_corpus/1998-2000/Cowboy_Bebop.txt
Trigun,1998,1998-2000,26,8790,1741,heaps_corpus/1998-2000/Trigun.txt
Betterman,1999,1998-2000,26,9716,2105,heaps_corpus/1998-2000/Betterman.txt
Digimon_Adventure,1999,1998-2000,54,26084,3338,heaps_corpus/1998-2000/Digimon_Adventure.txt
The_Big_O,1999,1998-2000,13,7006,1482,heaps_corpus/1998-2000/The_Big_O.txt
Kimi_to_Boku,2001,2001-2003,13,4391,1052,heaps_corpus/2001-2003/Kimi_to_Boku.txt
Spirited_Away,2001,2001-2003,1,1337,457,heaps_corpus/2001-2003/Spirited_Away.txt
Full_Metal_Panic!,2002,2001-2003,24,12833,2769,heaps_corpus/2001-2003/Full_Metal_Panic_.txt
Stand_Alone_Complex,2002,2001-2003,26,19182,3393,heaps_corpus/2001-2003/Stand_Alone_Complex.txt
The_Cat_Returns,2002,2001-2003,1,1387,472,heaps_corpus/2001-2003/The_Cat_Returns.txt
Blame,2003,2001-2003,1,1482,457,heaps_corpus/2001-2003/Blame.txt
Free!,2003,2001-2003,12,9439,1564,heaps_corpus/2001-2003/Free_.txt
Full_Metal_Panic_Fumoffu,2003,2001-2003,12,10668,2366,heaps_corpus/2001-2003/Full_Metal_Panic_Fumoffu.txt
Fullmetal_Alchemist,2003,2001-2003,51,19920,2528,heaps_corpus/2001-2003/Fullmetal_Alchemist.txt
Bleach,2004,2004-2006,366,85664,6417,heaps_corpus/2004-2006/Bleach.txt
Gantz,2004,2004-2006,26,10652,1558,heaps_corpus/2004-2006/Gantz.txt
Ghost_in_the_Shell_2_Innocence,2004,2004-2006,1,1331,543,heaps_corpus/2004-2006/Ghost_in_the_Shell_2_Innocence.txt
Howls_Moving_Castle,2004,2004-2006,1,2500,653,heaps_corpus/2004-2006/Howls_Moving_Castle.txt
Kumo_no_Mukou_Yakusoku_no_Basho,2004,2004-2006,1,1880,613,heaps_corpus/2004-2006/Kumo_no_Mukou_Yakusoku_no_Basho.txt
Samurai_7,2004,2004-2006,26,6343,1327,heaps_corpus/2004-2006/Samurai_7.txt
Samurai_Champloo,2004,2004-2006,26,11014,2086,heaps_corpus/2004-2006/Samurai_Champloo.txt
Steamboy,2004,2004-2006,1,2156,589,heaps_corpus/2004-2006/Steamboy.txt
Eureka_Seven,2005,2004-2006,50,16258,2491,heaps_corpus/2004-2006/Eureka_Seven.txt
Final_Fantasy_VII_Advent_Children,2005,2004-2006,1,1417,477,heaps_corpus/2004-2006/Final_Fantasy_VII_Advent_Children.txt
Full_Metal_Panic_The_Second_Raid,2005,2004-2006,13,8330,2028,heaps_corpus/2004-2006/Full_Metal_Panic_The_Second_Raid.txt
Fullmetal_Alchemist_Conqueror_of_Shamballa,2005,2004-2006,1,2156,636,heaps_corpus/2004-2006/Fullmetal_Alchemist_Conqueror_of_Shamballa.txt
Ginban_Kaleidoscope,2005,2004-2006,2,1900,616,heaps_corpus/2004-2006/Ginban_Kaleidoscope.txt
Honey_and_Clover,2005,2004-2006,24,14346,2393,heaps_corpus/2004-2006/Honey_and_Clover.txt
"Iriya_no_Sora,UFO_no_Natsu",2005,2004-2006,5,3722,970,heaps_corpus/2004-2006/Iriya_no_Sora_UFO_no_Natsu.txt
Mushishi,2005,2004-2006,26,13916,2218,heaps_corpus/2004-2006/Mushishi.txt
Busou_Renkin,2006,2004-2006,26,16956,2700,heaps_corpus/2004-2006/Busou_Renkin.txt
Code_Geass_R1,2006,2004-2006,25,17685,2861,heaps_corpus/2004-2006/Code_Geass_R1.txt
Fate_stay_night,2006,2004-2006,24,5182,1060,heaps_corpus/2004-2006/Fate_stay_night.txt
Freedom,2006,2004-2006,7,7082,1369,heaps_corpus/2004-2006/Freedom.txt
Gintama_S1,2006,2004-2006,48,31164,4386,heaps_corpus/2004-2006/Gintama_S1.txt
Gintama_S2,2006,2004-2006,50,33588,4877,heaps_corpus/2004-2006/Gintama_S2.txt
Gintama_S3,2006,2004-2006,51,34979,4658,heaps_corpus/2004-2006/Gintama_S3.txt
Gintama_S4,2006,2004-2006,50,32286,4652,heaps_corpus/2004-2006/Gintama_S4.txt
Hellsing_Ultimate,2006,2004-2006,8,7378,1722,heaps_corpus/2004-2006/Hellsing_Ultimate.txt
Higurashi_no_Naku_Koro_ni,2006,2004-2006,26,19831,2536,heaps_corpus/2004-2006/Higurashi_no_Naku_Koro_ni.txt
Honey_and_Clover_II,2006,2004-2006,12,7632,1611,heaps_corpus/2004-2006/Honey_and_Clover_II.txt
Inukami!,2006,2004-2006,26,19770,3082,heaps_corpus/2004-2006/Inukami_.txt
Ouran_Koukou_Host_Club,2006,2004-2006,26,14098,2556,heaps_corpus/2004-2006/Ouran_Koukou_Host_Club.txt
Tales_from_Earthsea,2006,2004-2006,1,1774,537,heaps_corpus/2004-2006/Tales_from_Earthsea.txt
Utawarerumono,2006,2004-2006,26,10217,1587,heaps_corpus/2004-2006/Utawarerumono.txt
Zero_no_Tsukaima,2006,2004-2006,13,9322,1692,heaps_corpus/2004-2006/Zero_no_Tsukaima.txt
5_Centimeters_Per_Second,2007,2007-2009,1,1212,474,heaps_corpus/2007-2009/5_Centimeters_Per_Second.txt
Baccano,2007,2007-2009,15,9935,1765,heaps_corpus/2007-2009/Baccano.txt
Bokurano,2007,2007-2009,24,11624,1708,heaps_corpus/2007-2009/Bokurano.txt
Claymore,2007,2007-2009,26,13217,1828,heaps_corpus/2007-2009/Claymore.txt
Dennou_Coil,2007,2007-2009,26,20792,2452,heaps_corpus/2007-2009/Dennou_Coil.txt
Genshiken_Nidaime,2007,2007-2009,13,9888,1820,heaps_corpus/2007-2009/Genshiken_Nidaime.txt
Kaiji_S1,2007,2007-2009,26,5230,1244,heaps_corpus/2007-2009/Kaiji_S1.txt
Nagasarete_Airantou,2007,2007-2009,26,16162,2537,heaps_corpus/2007-2009/Nagasarete_Airantou.txt
Romeo_x_Juliet,2007,2007-2009,10,6515,1266,heaps_corpus/2007-2009/Romeo_x_Juliet.txt
Sayonara_Zetsubou_Sensei,2007,2007-2009,12,9292,1936,heaps_corpus/2007-2009/Sayonara_Zetsubou_Sensei.txt
Seirei_no_Moribito,2007,2007-2009,26,11351,1947,heaps_corpus/2007-2009/Seirei_no_Moribito.txt
Code_Geass_R2,2008,2007-2009,25,15285,2520,heaps_corpus/2007-2009/Code_Geass_R2.txt
Eve_no_Jikan,2008,2007-2009,1,1549,488,heaps_corpus/2007-2009/Eve_no_Jikan.txt
Kaiba,2008,2007-2009,12,5721,1244,heaps_corpus/2007-2009/Kaiba.txt
Natsume_Yuujinchou,2008,2007-2009,13,6341,1192,heaps_corpus/2007-2009/Natsume_Yuujinchou.txt
Sekirei,2008,2007-2009,12,8902,1718,heaps_corpus/2007-2009/Sekirei.txt
Strike_Witches,2008,2007-2009,12,8173,1561,heaps_corpus/2007-2009/Strike_Witches.txt
The_Sky_Crawlers,2008,2007-2009,1,2128,635,heaps_corpus/2007-2009/The_Sky_Crawlers.txt
Toaru_Majutsu_no_Index,2008,2007-2009,24,15644,2511,heaps_corpus/2007-2009/Toaru_Majutsu_no_Index.txt
Wagaya_no_Oinari-sama,2008,2007-2009,24,12389,2063,heaps_corpus/2007-2009/Wagaya_no_Oinari-sama.txt
07-Ghost,2009,2007-2009,24,15231,2234,heaps_corpus/2007-2009/07-Ghost.txt
Bakemonogatari,2009,2007-2009,15,8496,1472,heaps_corpus/2007-2009/Bakemonogatari.txt
Fairy_Tail,2009,2007-2009,175,17582,2681,heaps_corpus/2007-2009/Fairy_Tail.txt
Fullmetal_Alchemist_Brotherhood,2009,2007-2009,64,23994,3137,heaps_corpus/2007-2009/Fullmetal_Alchemist_Brotherhood.txt
Hajime_no_Ippo_New_Challenger,2009,2007-2009,26,16012,2571,heaps_corpus/2007-2009/Hajime_no_Ippo_New_Challenger.txt
Hanasakeru_Seishonen,2009,2007-2009,34,28030,3281,heaps_corpus/2007-2009/Hanasakeru_Seishonen.txt
Higashi_no_Eden,2009,2007-2009,11,7180,1474,heaps_corpus/2007-2009/Higashi_no_Eden.txt
Kobato,2009,2007-2009,24,15500,1676,heaps_corpus/2007-2009/Kobato.txt
Koukaku_no_Regios,2009,2007-2009,24,15941,2265,heaps_corpus/2007-2009/Koukaku_no_Regios.txt
Nyan_Koi!,2009,2007-2009,12,4593,1173,heaps_corpus/2007-2009/Nyan_Koi_.txt
Sora_no_Otoshimono_S1,2009,2007-2009,12,5952,1320,heaps_corpus/2007-2009/Sora_no_Otoshimono_S1.txt
Sora_no_Otoshimono_S2,2009,2007-2009,12,5505,1199,heaps_corpus/2007-2009/Sora_no_Otoshimono_S2.txt
Summer_Wars,2009,2007-2009,1,480,228,heaps_corpus/2007-2009/Summer_Wars.txt
The_Book_of_Bantorra,2009,2007-2009,27,12315,1940,heaps_corpus/2007-2009/The_Book_of_Bantorra.txt
Toaru_Kagaku_no_Railgun,2009,2007-2009,24,10453,2019,heaps_corpus/2007-2009/Toaru_Kagaku_no_Railgun.txt
Amagami_SS,2010,2010-2012,25,14894,2075,heaps_corpus/2010-2012/Amagami_SS.txt
Angel_Beats!,2010,2010-2012,13,4957,1159,heaps_corpus/2010-2012/Angel_Beats_.txt
Arakawa_Under_the_Bridge,2010,2010-2012,13,6825,1566,heaps_corpus/2010-2012/Arakawa_Under_the_Bridge.txt
Arakawa_Under_the_Bridge_x_Bridge,2010,2010-2012,13,7027,1775,heaps_corpus/2010-2012/Arakawa_Under_the_Bridge_x_Bridge.txt
Baka_to_Test_to_Shoukanjuu,2010,2010-2012,13,9889,1811,heaps_corpus/2010-2012/Baka_to_Test_to_Shoukanjuu.txt
Durarara,2010,2010-2012,24,14558,2058,heaps_corpus/2010-2012/Durarara.txt
Giant_Killing,2010,2010-2012,26,9474,1681,heaps_corpus/2010-2012/Giant_Killing.txt
Ichiban_Ushiro_no_Daimaou,2010,2010-2012,12,11706,1954,heaps_corpus/2010-2012/Ichiban_Ushiro_no_Daimaou.txt
Kami_nomi_zo_Shiru_Sekai,2010,2010-2012,12,4801,1068,heaps_corpus/2010-2012/Kami_nomi_zo_Shiru_Sekai.txt
Katanagatari,2010,2010-2012,12,14396,2199,heaps_corpus/2010-2012/Katanagatari.txt
Ookami-san_to_Shichinin_no_Nakama-tachi,2010,2010-2012,12,7617,1476,heaps_corpus/2010-2012/Ookami-san_to_Shichinin_no_Nakama-tachi.txt
Seitokai_Yakuindomo,2010,2010-2012,13,9397,1932,heaps_corpus/2010-2012/Seitokai_Yakuindomo.txt
Sekirei_Pure_Engagement,2010,2010-2012,13,1726,576,heaps_corpus/2010-2012/Sekirei_Pure_Engagement.txt
The_Tatami_Galaxy,2010,2010-2012,11,8970,1966,heaps_corpus/2010-2012/The_Tatami_Galaxy.txt
Toaru_Majutsu_no_Index_II,2010,2010-2012,24,13340,2407,heaps_corpus/2010-2012/Toaru_Majutsu_no_Index_II.txt
Beelzebub,2011,2010-2012,60,28322,4034,heaps_corpus/2010-2012/Beelzebub.txt
Children_Who_Chase_Lost_Voices,2011,2010-2012,1,2143,630,heaps_corpus/2010-2012/Children_Who_Chase_Lost_Voices.txt
Deadman_Wonderland,2011,2010-2012,12,6380,1395,heaps_corpus/2010-2012/Deadman_Wonderland.txt
Fate_Zero,2011,2010-2012,25,13668,2480,heaps_corpus/2010-2012/Fate_Zero.txt
Gosick,2011,2010-2012,23,18030,2581,heaps_corpus/2010-2012/Gosick.txt
Guilty_Crown,2011,2010-2012,22,11961,2174,heaps_corpus/2010-2012/Guilty_Crown.txt
Haganai,2011,2010-2012,12,7282,1588,heaps_corpus/2010-2012/Haganai.txt
Hanasaku_Iroha,2011,2010-2012,26,15125,2251,heaps_corpus/2010-2012/Hanasaku_Iroha.txt
Hourou_Musuko,2011,2010-2012,11,4447,925,heaps_corpus/2010-2012/Hourou_Musuko.txt
Kaiji_S2,2011,2010-2012,25,7434,1626,heaps_corpus/2010-2012/Kaiji_S2.txt
Kami_nomi_zo_Shiru_Sekai_2,2011,2010-2012,12,5428,1231,heaps_corpus/2010-2012/Kami_nomi_zo_Shiru_Sekai_2.txt
Kuiba,2011,2010-2012,1,1228,465,heaps_corpus/2010-2012/Kuiba.txt
Lucky_Star,2011,2010-2012,24,5571,1408,heaps_corpus/2010-2012/Lucky_Star.txt
Mawaru_Penguindrum,2011,2010-2012,24,12536,1937,heaps_corpus/2010-2012/Mawaru_Penguindrum.txt
Nichijou,2011,2010-2012,26,9204,1778,heaps_corpus/2010-2012/Nichijou.txt
Phi_Brain_-_Kami_no_Puzzle_S1,2011,2010-2012,25,21568,2880,heaps_corpus/2010-2012/Phi_Brain_-_Kami_no_Puzzle_S1.txt
Phi_Brain_-_Kami_no_Puzzle_S2,2011,2010-2012,25,18613,2528,heaps_corpus/2010-2012/Phi_Brain_-_Kami_no_Puzzle_S2.txt
Phi_Brain_-_Kami_no_Puzzle_S3,2011,2010-2012,25,16728,2249,heaps_corpus/2010-2012/Phi_Brain_-_Kami_no_Puzzle_S3.txt
Sekai-Ichi_Hatsukoi_S1,2011,2010-2012,12,8011,1504,heaps_corpus/2010-2012/Sekai-Ichi_Hatsukoi_S1.txt
Sekai-Ichi_Hatsukoi_S2,2011,2010-2012,12,9649,1501,heaps_corpus/2010-2012/Sekai-Ichi_Hatsukoi_S2.txt
Steins_Gate,2011,2010-2012,24,11706,1956,heaps_corpus/2010-2012/Steins_Gate.txt
Usagi_Drop,2011,2010-2012,11,7397,1341,heaps_corpus/2010-2012/Usagi_Drop.txt
Yumekui_Merry,2011,2010-2012,13,7407,1309,heaps_corpus/2010-2012/Yumekui_Merry.txt
Accel_World,2012,2010-2012,24,8626,1716,heaps_corpus/2010-2012/Accel_World.txt
Amagami_SS_Plus,2012,2010-2012,13,7053,1326,heaps_corpus/2010-2012/Amagami_SS_Plus.txt
Ano_Natsu_de_Matteru,2012,2010-2012,12,3822,789,heaps_corpus/2010-2012/Ano_Natsu_de_Matteru.txt
Another,2012,2010-2012,12,5373,1008,heaps_corpus/2010-2012/Another.txt
