N,V_mean,V_sd
1,1.0,0.0
2,2.0,0.0
3,2.97,0.18
4,3.93,0.25
5,4.9,0.3
6,5.83,0.37
7,6.83,0.37
8,7.77,0.5
9,8.67,0.6
10,9.63,0.71
11,10.47,0.85
12,11.37,0.84
13,12.13,0.96
14,13.07,0.96
15,13.93,0.96
16,14.8,0.91
17,15.67,0.94
18,16.53,0.92
19,17.37,0.98
20,18.2,1.05
21,18.97,1.2
22,19.8,1.33
23,20.53,1.48
24,21.2,1.47
25,22.03,1.56
26,22.8,1.7
27,23.5,1.78
28,24.27,1.69
29,25.17,1.67
30,25.7,1.7
31,26.37,1.89
33,27.7,2.13
34,28.3,2.1
35,29.0,2.25
36,29.8,2.37
38,31.1,2.53
39,31.87,2.69
41,33.03,2.73
42,33.6,2.86
44,35.03,2.86
46,36.47,3.03
48,38.0,3.07
49,38.47,3.2
51,39.47,3.12
53,40.57,3.11
55,41.93,3.27
58,43.77,3.39
60,45.07,3.45
62,46.23,3.32
64,47.37,3.41
67,49.1,3.31
70,50.9,3.44
72,52.1,3.63
75,53.93,3.88
78,55.77,4.23
81,57.47,4.1
84,58.97,4.14
87,60.63,4.19
91,62.9,4.33
94,64.47,4.6
98,66.5,4.6
101,68.03,4.54
105,70.13,4.94
109,72.07,5.18
114,74.97,5.41
118,76.77,5.81
123,79.33,6.21
127,81.37,6.42
132,84.07,6.86
137,87.07,7.25
143,90.1,7.65
148,92.43,7.96
154,95.57,8.27
160,98.13,8.42
166,100.9,8.95
172,103.57,9.12
179,106.87,9.51
186,110.13,9.91
193,112.9,10.14
200,116.17,10.23
208,119.57,10.97
216,123.0,11.1
224,126.67,11.29
233,130.8,11.47
242,134.1,12.01
251,137.97,12.01
260,141.63,12.21
270,146.2,12.22
281,150.93,12.55
292,155.63,12.39
303,160.87,12.1
314,165.5,11.94
327,170.27,11.34
339,174.93,11.83
352,180.07,12.28
366,184.97,12.89
380,190.37,13.92
394,195.47,14.2
409,201.93,14.23
425,208.33,14.77
441,214.03,15.36
458,220.2,15.82
476,225.7,16.61
494,231.77,16.95
513,240.17,17.93
533,248.6,18.26
553,257.0,18.24
574,265.13,18.26
596,274.67,18.89
619,283.67,19.36
643,292.6,19.84
668,300.3,20.44
693,308.83,20.83
720,318.3,20.47
747,327.93,20.7
776,337.43,21.01
806,346.87,21.8
837,357.2,21.93
869,368.37,23.59
902,379.4,24.81
937,389.4,25.68
973,400.4,26.88
1010,412.1,28.28
1048,425.03,29.3
1089,439.0,29.11
1130,452.5,29.42
1174,466.93,29.58
1219,480.2,30.44
1265,494.4,30.72
1314,506.5,32.1
1364,520.4,33.74
1417,535.7,33.63
1471,551.23,34.05
1527,567.33,34.93
1586,585.87,33.75
1647,604.87,34.06
1710,623.93,33.77
1775,642.83,34.09
1843,660.07,32.99
1914,679.2,33.6
1987,698.2,34.86
2063,720.13,34.01
2142,741.93,34.99
2225,764.23,36.97
2310,787.1,36.93
2398,810.57,38.37
2490,834.43,37.86
2586,861.57,38.95
2685,889.43,39.88
2788,914.73,40.37
2894,940.27,43.5
3005,967.8,46.04
3121,998.67,46.25
3240,1027.4,46.29
3364,1056.3,47.1
3493,1084.47,47.72
3627,1118.83,48.66
3766,1152.17,52.52
3910,1182.97,54.65
4060,1215.8,55.53
4216,1246.07,56.28
4377,1280.0,57.01
4545,1314.97,56.68
4719,1353.83,56.2
4900,1393.0,57.53
5088,1432.97,57.33
5283,1472.7,59.45
5485,1511.1,62.2
5695,1554.13,62.95
5914,1597.17,66.12
6140,1642.13,66.77
6375,1687.53,69.57
6620,1734.4,66.32
6873,1785.33,67.25
7137,1838.7,66.22
7410,1890.13,68.64
7694,1942.1,68.9
