rank,word,frequency,relative_frequency
1,من,2763,0.03568430433041884
2,ٱلله,2153,0.027806119154322025
3,في,1099,0.014193648374639992
4,إن,966,0.012475945705097573
5,ما,873,0.011274845342184453
6,ٱلذين,811,0.01047411176690904
7,لا,749,0.009673378191633625
8,أن,638,0.00823980679073732
9,ولا,605,0.007813609887768148
10,على,589,0.007606968965116429
11,إلا,562,0.007258262408141652
12,وما,510,0.006586679409523563
13,قال,412,0.005321003758281781
14,لهم,373,0.004817316509318214
15,إلى,351,0.0045331852406721
16,ومن,342,0.004416949721680507
17,ثم,340,0.004391119606349043
18,لكم,337,0.004352374433351845
19,كان,323,0.00417156362603159
20,قل,298,0.0038486871843882785
21,به,288,0.0037195366077309535
22,ٱلأرض,287,0.003706621550065221
23,ذلك,280,0.0036162161464050936
24,أو,280,0.0036162161464050936
25,هو,265,0.0034224902814191066
26,هم,261,0.0033708300507561766
27,وإن,254,0.003280424647096049
28,بما,253,0.0032675095894303167
29,له,250,0.003228764416433119
30,وٱلله,240,0.0030996138397757947
31,كل,223,0.0028800578594583423
32,عن,223,0.0028800578594583423
33,ءامنوا,222,0.00286714280179261
34,ربك,220,0.0028413126864611452
35,ٱلذي,216,0.0027896524557982152
36,عليهم,215,0.0027767373981324828
37,فيها,212,0.0027379922251352853
38,كانوا,210,0.0027121621098038203
39,يوم,199,0.002570096475480763
40,كنتم,188,0.002428030841157706
41,ٱلناس,182,0.002350540495163311
42,ٱلسموت,182,0.002350540495163311
43,لم,178,0.002298880264500381
44,قالوا,173,0.0022343049761717184
45,إذا,172,0.002221389918505986
46,وهو,171,0.0022084748608402534
47,فإن,168,0.0021697296878430564
48,كفروا,166,0.0021438995725115914
49,إذ,165,0.002130984514845859
50,وٱلذين,164,0.0021180694571801264
51,عليكم,164,0.0021180694571801264
52,ٱلكتب,163,0.002105154399514394
53,وٱلأرض,157,0.002027664053519999
54,هذا,156,0.0020147489958542665
55,منهم,153,0.001976003822857069
56,بعد,150,0.0019372586498598717
57,عليه,146,0.0018855984191969417
58,فلا,145,0.0018726833615312093
59,إنه,143,0.0018468532461997443
60,يٓأيها,142,0.0018339381885340118
61,بٱلله,139,0.0017951930155368143
62,وهم,137,0.0017693629002053495
63,مآ,137,0.0017693629002053495
64,ومآ,134,0.001730617727208152
65,أولٓئك,133,0.0017177026695424195
66,أم,130,0.001678957496545222
67,ولقد,129,0.0016660424388794896
68,رب,127,0.0016402123235480246
69,فيه,127,0.0016402123235480246
70,بل,127,0.0016402123235480246
71,قد,126,0.001627297265882292
72,وإذا,121,0.0015627219775536298
73,عند,119,0.0015368918622221648
74,عذاب,117,0.0015110617468906999
75,شيءٖ,117,0.0015110617468906999
76,قبل,117,0.0015110617468906999
77,لله,116,0.0014981466892249674
78,يشآء,116,0.0014981466892249674
79,إنا,115,0.0014852316315592349
80,ولكن,112,0.0014464864585620374
81,ربهم,111,0.001433571400896305
82,ولو,111,0.001433571400896305
83,ٱلدنيا,110,0.0014206563432305726
84,ٱلسمآء,109,0.0014077412855648401
85,ٱلحق,109,0.0014077412855648401
86,منكم,107,0.0013819111702333751
87,ربكم,102,0.0013173358819047127
88,ٱلنار,102,0.0013173358819047127
89,مما,101,0.0013044208242389802
90,إلآ,100,0.0012915057665732477
91,أنزل,95,0.0012269304782445854
92,حتى,95,0.0012269304782445854
93,لمن,94,0.001214015420578853
94,دون,91,0.0011752702475816554
95,فمن,90,0.001162355189915923
96,منه,88,0.001136525074584458
97,يؤمنون,86,0.001110694959252993
98,فيٓ,86,0.001110694959252993
99,كذلك,86,0.001110694959252993
100,إنما,85,0.0010977799015872607
101,خلق,85,0.0010977799015872607
102,ٱلعذاب,85,0.0010977799015872607
103,وقال,85,0.0010977799015872607
104,وكان,84,0.0010848648439215282
105,تعملون,83,0.0010719497862557957
106,سبيل,83,0.0010719497862557957
107,يعلمون,82,0.0010590347285900632
108,إني,81,0.0010461196709243307
109,علىٓ,81,0.0010461196709243307
110,للذين,80,0.0010332046132585982
111,بين,79,0.0010202895555928657
112,فلما,79,0.0010202895555928657
113,ألم,78,0.0010073744979271332
114,موسى,78,0.0010073744979271332
115,لو,78,0.0010073744979271332
116,ٱلمؤمنين,78,0.0010073744979271332
117,إليك,77,0.0009944594402614007
118,قالوٓا,77,0.0009944594402614007
119,منها,76,0.0009815443825956682
120,إليه,76,0.0009815443825956682
121,أنتم,76,0.0009815443825956682
122,فإذا,76,0.0009815443825956682
123,عنهم,75,0.0009686293249299359
124,ألا,75,0.0009686293249299359
125,ربي,75,0.0009686293249299359
126,بٱلحق,74,0.0009557142672642034
127,أنفسهم,72,0.0009298841519327384
128,وإذ,72,0.0009298841519327384
129,ربنا,72,0.0009298841519327384
130,جهنم,72,0.0009298841519327384
131,فما,71,0.0009169690942670059
132,لك,71,0.0009169690942670059
133,يعلم,71,0.0009169690942670059
134,ٱلقيمة,71,0.0009169690942670059
135,ٱلأٓخرة,71,0.0009169690942670059
136,غير,69,0.0008911389789355409
137,لما,69,0.0008911389789355409
138,وأن,68,0.0008782239212698085
139,لنا,67,0.000865308863604076
140,هل,67,0.000865308863604076
141,خيرٞ,66,0.0008523938059383435
142,قلوبهم,65,0.000839478748272611
143,نحن,65,0.000839478748272611
144,شيء,65,0.000839478748272611
145,فرعون,65,0.000839478748272611
146,بها,65,0.000839478748272611
147,ٱلظلمين,64,0.0008265636906068785
148,ٱلعزيز,64,0.0008265636906068785
149,إنهم,63,0.000813648632941146
150,ٱلشيطن,63,0.000813648632941146
151,ٱلحيوة,63,0.000813648632941146
152,لآ,63,0.000813648632941146
153,كيف,62,0.0008007335752754137
154,ٱلقوم,62,0.0008007335752754137
155,أنا,62,0.0008007335752754137
156,كنا,62,0.0008007335752754137
157,ٱلعلمين,61,0.0007878185176096812
158,ٱلصلحت,61,0.0007878185176096812
159,أصحب,61,0.0007878185176096812
160,عليم,61,0.0007878185176096812
161,لعلكم,59,0.0007619884022782162
162,لن,59,0.0007619884022782162
163,إله,59,0.0007619884022782162
164,ٱليل,59,0.0007619884022782162
165,ٱلصلوة,58,0.0007490733446124837
166,ربه,58,0.0007490733446124837
167,مع,58,0.0007490733446124837
168,بينهم,58,0.0007490733446124837
169,ٱلإنسن,58,0.0007490733446124837
170,شئٗا,57,0.0007361582869467512
171,فقد,57,0.0007361582869467512
172,عليك,57,0.0007361582869467512
173,جآء,57,0.0007361582869467512
174,شآء,56,0.0007232432292810187
175,تعلمون,56,0.0007232432292810187
176,ٱلجنة,56,0.0007232432292810187
177,يعملون,56,0.0007232432292810187
178,أعلم,55,0.0007103281716152863
179,أنت,55,0.0007103281716152863
180,ورسوله,55,0.0007103281716152863
181,إلىٓ,54,0.0006974131139495538
182,لقد,54,0.0006974131139495538
183,وعملوا,53,0.0006844980562838213
