rank,word,frequency,relative_frequency
1,καί,8973,0.06523256321153874
2,ὁ,2916,0.02119894732250607
3,δέ,2766,0.02010846649315905
4,ἐν,2733,0.019868560710702705
5,τοῦ,2507,0.01822556959448653
6,εἰς,1754,0.012751355831164489
7,τό,1684,0.012242464777469212
8,οὐ,1605,0.011668144874013115
9,τόν,1576,0.011457318580339357
10,τήν,1518,0.011035665992991843
11,αὐτοῦ,1413,0.01027232941244893
12,τῆς,1298,0.009436294109949547
13,ὅτι,1294,0.00940721462116696
14,τῷ,1233,0.008963752417232506
15,τῶν,1204,0.008752926123558748
16,οἱ,1112,0.008084097881559242
17,γάρ,1039,0.007553397211277026
18,μή,1036,0.0075315875946900855
19,ἡ,980,0.007124474751733865
20,αὐτόν,952,0.006920918330255754
21,ἐκ,913,0.006637393314625529
22,ἐστί(ν),896,0.006513805487299533
23,ἐπί,885,0.006433836893147418
24,τῇ,877,0.006375677915582244
25,αὐτῷ,849,0.0061721214941041335
26,τά,830,0.0060339939223868445
27,τούς,729,0.005299736830626517
28,πρός,696,0.0050598310481701735
29,θεοῦ,687,0.004994402198409352
30,διά,666,0.004841734882300769
31,ἵνα,662,0.004812655393518182
32,ἀπό,644,0.00468179769399654
33,ἀλλά,638,0.004638178460822658
34,τοῖς,619,0.004500050889105369
35,εἶπε(ν),610,0.0044346220393445485
36,ὑμῖν,607,0.004412812422757608
37,μου,564,0.004100207918344796
38,αὐτῶν,561,0.004078398301757855
39,ὑμῶν,559,0.004063858557366562
40,αὐτοῖς,554,0.004027509196388328
41,ὡς,503,0.0036567457144103407
42,εἰ,502,0.003649475842214694
43,οὖν,494,0.0035913168646495193
44,μετά,470,0.0034168399319539963
45,κατά,469,0.0034095700597583495
46,Ἰησοῦς,456,0.003315061721214941
47,ὑμᾶς,431,0.003133314916323771
48,σου,419,0.0030460764499760096
49,ἡμῶν,400,0.00290794887825872
50,αὐτούς,353,0.0025662648850633208
51,ἤ,346,0.002515375779693793
52,ἐγώ,343,0.0024935661631068527
53,τί,339,0.0024644866743242654
54,τάς,337,0.002449946929932972
55,λέγει,336,0.0024426770577373248
56,τοῦτο,334,0.0024281373133460313
57,περί,332,0.002413597568954738
58,ἐάν,331,0.002406327696759091
59,Ἰησοῦ,322,0.00234089884699827
60,ἦν,314,0.002282739869433095
61,θεός,305,0.0022173110196722742
62,με,286,0.002079183447954985
63,πάντα,263,0.0019119763874551085
64,ὅ,250,0.0018174680489117
65,Χριστοῦ,248,0.0018029283045204066
66,ταῦτα,240,0.0017447693269552322
67,κυρίου,239,0.0017374994547595852
68,ὑμεῖς,236,0.0017156898381726448
69,τὶς,236,0.0017156898381726448
70,μοι,225,0.00163572124402053
71,ὑπό,220,0.001599371883042296
72,ὅς,219,0.0015921020108466493
73,τέ,213,0.0015484827776727685
74,λέγω,211,0.0015339430332814749
75,οὕτω(ς),207,0.0015048635444988878
76,ταῖς,203,0.0014757840557163004
77,ἐγένετο,201,0.001461244311325007
78,ἰδού,200,0.00145397443912936
79,παρά,193,0.0014030853337598326
80,οὗτος,188,0.0013667359727815985
81,καθώς,182,0.0013231167396077178
82,λέγων,178,0.0012940372508251305
83,μέν,178,0.0012940372508251305
84,πάντες,178,0.0012940372508251305
85,κύριος,176,0.0012794975064338368
86,σύ,173,0.0012576878898468964
87,ἄν,171,0.001243148145455603
88,αὐτῆς,170,0.001235878273259956
89,αὐτός,167,0.0012140686566730157
90,ὅν,167,0.0012140686566730157
91,σοι,167,0.0012140686566730157
92,ἡμῖν,167,0.0012140686566730157
93,ἡμᾶς,167,0.0012140686566730157
94,υἱός,159,0.0011559096791078412
