rank,word,frequency,relative_frequency
1,ו,63107,0.13377949818113982
2,ה,29636,0.06282487217101526
3,ל,20869,0.04423985211691582
4,ב,15859,0.0336192349763845
5,את,11563,0.024512214769653443
6,ך,8341,0.01768194961460515
7,י,6974,0.014784068650312471
8,יהוה,6618,0.014029390067073119
9,מ,6420,0.013609653102237749
10,אשר,5538,0.011739915713425647
11,אל,5533,0.011729316295121724
12,כל,5502,0.011663599901637399
13,לא,5088,0.010785968066072535
14,על,4579,0.009706947282733124
15,כי,4503,0.009545836124513487
16,ם,3880,0.008225148603844622
17,הם,3245,0.006879022479246339
18,כ,2972,0.006300294239852117
19,כם,2615,0.00554349577295198
20,בני,2615,0.00554349577295198
21,ישראל,2420,0.005130118459098965
22,מלך,2315,0.004907530674716572
23,בית,2213,0.004691302541316533
24,יאמר,2167,0.004593787892920437
25,נו,2138,0.00453231126675768
26,ארץ,2131,0.004517472081132188
27,אמר,1994,0.004227048019604684
28,פני,1858,0.0039387438417379655
29,בן,1759,0.0037288753593202805
30,עם,1679,0.003559284666457505
31,איש,1670,0.0035402057135104424
32,הוא,1577,0.003343056533057466
33,דבר,1447,0.0030674716571554555
34,יום,1423,0.0030165944492966225
35,עלי,1410,0.0029890359617064217
36,עד,1390,0.0029466382884907275
37,יד,1390,0.0029466382884907275
38,ני,1316,0.0027897668975926603
39,אלהי,1304,0.002764328293663244
40,זה,1144,0.0024251469079376925
41,אלהים,1142,0.002420907140616123
42,שם,1115,0.0023636702817749363
43,אם,1101,0.0023339919105239506
44,הו,1061,0.0022491965640925628
45,אלי,1053,0.002232237494806285
46,עמ,1022,0.0021665211013219593
47,אלה,988,0.00209444505685528
48,הנה,908,0.001924854363992504
49,אני,875,0.001854898203186609
50,יהי,866,0.0018358192502395468
51,מן,845,0.0017913016933630683
52,דוד,825,0.0017489040201473743
53,א,820,0.001738304601843451
54,יהודה,812,0.0017213455325571733
55,כן,780,0.001653509255412063
56,גם,769,0.0016301905351434314
57,מה,762,0.0016153513495179384
58,היה,760,0.0016111115821963692
59,אתה,747,0.001583553094606168
60,משה,736,0.0015602343743375364
61,נפש,705,0.0014945179808532108
62,אין,704,0.001492398097192426
63,עיר,689,0.0014605998422806557
64,אחד,686,0.0014542401912983015
65,מצרים,647,0.0013715647285276985
66,אדנ,634,0.0013440062409374974
67,עיני,630,0.0013355267062943586
68,עשה,629,0.0013334068226335738
69,ירושלם,621,0.0013164477533472963
70,כה,617,0.0013079682187041575
71,אחרי,601,0.0012740500801316024
72,זאת,593,0.0012570910108453247
73,שמ,592,0.0012549711271845402
74,לב,592,0.0012549711271845402
75,אדם,582,0.001233772290576693
76,עבד,553,0.001172295664413937
77,אבי,549,0.001163816129770798
78,אחי,549,0.001163816129770798
79,שנה,528,0.0011192985728943196
80,ימים,516,0.0010938599689649033
81,מי,499,0.0010578219467315634
82,ראש,478,0.0010133043898550847
83,בא,478,0.0010133043898550847
84,מים,474,0.001004824855211946
85,בנ,472,0.0010005850878903766
86,שאול,471,0.0009984652042295918
87,עוד,465,0.0009857459022648838
88,רע,462,0.0009793862512825296
89,קדש,460,0.0009751464839609603
90,שני,449,0.0009518277636923286
91,כהן,448,0.0009497078800315439
92,קול,442,0.0009369885780668356
93,טוב,438,0.0009285090434236969
94,דרך,433,0.0009179096251197734
