rank,word,frequency,relative_frequency
1,the,32299,0.11098321112203033
2,of,14829,0.050954210276745036
3,to,9125,0.03135458687539945
4,in,7337,0.025210805907375972
5,and,6649,0.022846755959948596
6,that,5481,0.018833368839897467
7,a,4956,0.017029406307340237
8,by,3831,0.01316377230900332
9,was,3807,0.013081305450372132
10,is,3767,0.01294386068598682
11,be,3170,0.010892497577536027
12,for,2800,0.009621133506971885
13,on,2800,0.009621133506971885
14,it,2732,0.009387477407516854
15,as,2698,0.009270649357789339
16,or,2461,0.00845628912880636
17,not,2138,0.007346422656394961
18,which,1837,0.006312150804395483
19,this,1717,0.005899816511239546
20,court,1537,0.005281315071505639
21,with,1344,0.004618144083346505
22,an,1244,0.004274532172383223
23,act,1197,0.0041130345742304815
24,any,1152,0.003958409214297004
25,from,1151,0.0039549730951873715
26,at,1144,0.003930920261419942
27,had,1138,0.003910303546762145
28,under,1093,0.003755678186828668
29,no,1086,0.0037316253530612384
30,his,1055,0.0036251056606626214
31,section,1047,0.0035976167077855586
32,order,1035,0.0035563832784699647
33,case,1029,0.003535766563812168
34,were,1028,0.003532330444702535
35,has,1027,0.0035288943255929023
36,been,1027,0.0035288943255929023
37,appellant,939,0.0032265158439452146
38,have,895,0.0030753266031213707
39,are,870,0.00298942362538055
40,such,860,0.002955062434284222
41,he,857,0.0029447540769553236
42,made,833,0.002862287218324136
43,state,766,0.0026320672379787375
44,tax,715,0.002456825163387464
45,if,702,0.002412155614962237
46,high,698,0.002398411138523706
47,would,669,0.0022987636843443543
48,there,655,0.0022506580168094948
49,but,648,0.002226605183042065
50,income,607,0.0020857242995471195
51,may,565,0.0019414072969425411
52,other,559,0.0019207905822847444
53,also,551,0.0018933016294076818
54,all,551,0.0018933016294076818
55,question,551,0.0018933016294076818
56,government,547,0.0018795571529691506
57,number,536,0.0018417598427631896
58,appeal,530,0.0018211431281053927
59,shall,521,0.0017902180561186973
60,said,518,0.001779909698789799
61,before,518,0.001779909698789799
62,after,517,0.001776473579680166
63,respondent,503,0.0017283679121453065
64,against,497,0.0017077511974875096
65,its,483,0.0016596455299526503
66,only,463,0.0015909231477599939
67,him,462,0.0015874870286503612
68,so,449,0.0015428174802251345
69,i,443,0.0015222007655673376
70,we,441,0.001515328527348072
71,whether,440,0.001511892408238439
