rank,word,frequency,relative_frequency
1,च,189,0.027700425032976695
2,न,156,0.022863842884361718
3,स,61,0.008940348820167083
4,मे,54,0.007914407152279056
5,ते,47,0.006888465484391031
6,मां,44,0.006448776198153305
7,हि,38,0.005569397625677854
8,पार्थ,35,0.005129708339440129
9,कर्म,33,0.004836582148614979
10,उवाच,28,0.004103766671552103
11,श्री,28,0.004103766671552103
12,यो,26,0.003810640480726953
13,तु,24,0.003517514289901803
14,ये,24,0.003517514289901803
15,कौन्तेय,24,0.003517514289901803
16,अर्जुन,22,0.0032243880990766526
17,भारत,22,0.0032243880990766526
18,पि,22,0.0032243880990766526
19,भगवानुवाच,22,0.0032243880990766526
20,एव,20,0.0029312619082515023
21,चैव,20,0.0029312619082515023
22,यः,20,0.0029312619082515023
23,तथा,19,0.002784698812838927
24,वा,18,0.002638135717426352
25,मम,17,0.002491572622013777
26,यं,16,0.0023450095266012018
27,परं,15,0.0021984464311886266
28,मया,15,0.0021984464311886266
29,ज्ञानं,15,0.0021984464311886266
30,महाबाहो,14,0.0020518833357760515
31,भूतानि,14,0.0020518833357760515
32,विद्धि,14,0.0020518833357760515
33,योगी,14,0.0020518833357760515
34,तं,13,0.0019053202403634766
35,त्वां,13,0.0019053202403634766
36,यथा,13,0.0019053202403634766
37,कर्माणि,13,0.0019053202403634766
38,मयि,13,0.0019053202403634766
39,इति,12,0.0017587571449509014
40,ततो,12,0.0017587571449509014
41,यदा,12,0.0017587571449509014
42,ब्रह्म,12,0.0017587571449509014
43,सर्वे,11,0.0016121940495383263
44,किं,11,0.0016121940495383263
45,वेत्ति,11,0.0016121940495383263
46,यान्ति,11,0.0016121940495383263
47,स्मि,11,0.0016121940495383263
48,परमं,11,0.0016121940495383263
49,त्वं,10,0.0014656309541257512
50,देहे,10,0.0014656309541257512
51,श्रृणु,10,0.0014656309541257512
52,र्जुन,10,0.0014656309541257512
53,प्रकृतिं,10,0.0014656309541257512
54,सि,10,0.0014656309541257512
55,पश्यति,10,0.0014656309541257512
56,भवति,10,0.0014656309541257512
57,सञ्जय,9,0.001319067858713176
58,हं,9,0.001319067858713176
59,मनः,9,0.001319067858713176
60,विद्यते,9,0.001319067858713176
61,भूत्वा,9,0.001319067858713176
62,त्यक्त्वा,9,0.001319067858713176
63,सा,9,0.001319067858713176
64,सुखं,9,0.001319067858713176
65,गतिम्,9,0.001319067858713176
66,पुनः,9,0.001319067858713176
67,दृष्ट्वा,8,0.0011725047633006009
68,ततः,8,0.0011725047633006009
69,सर्वशः,8,0.0011725047633006009
70,य,8,0.0011725047633006009
71,कृष्ण,8,0.0011725047633006009
72,कथं,8,0.0011725047633006009
73,मा,8,0.0011725047633006009
74,नित्यं,8,0.0011725047633006009
75,सर्वस्य,8,0.0011725047633006009
76,उच्यते,8,0.0011725047633006009
77,सः,8,0.0011725047633006009
78,त्मानं,8,0.0011725047633006009
79,परां,8,0.0011725047633006009
80,प्रियः,8,0.0011725047633006009
81,यत्,8,0.0011725047633006009
82,सत्त्वं,8,0.0011725047633006009
83,तस्य,7,0.0010259416678880258
84,पश्यामि,7,0.0010259416678880258
85,परन्तप,7,0.0010259416678880258
86,लोके,7,0.0010259416678880258
87,पुरुषं,7,0.0010259416678880258
88,भूयः,7,0.0010259416678880258
89,तत्र,7,0.0010259416678880258
90,धनञ्जय,7,0.0010259416678880258
91,फलं,7,0.0010259416678880258
92,सर्वभूतानां,7,0.0010259416678880258
93,कर्ता,7,0.0010259416678880258
94,भरतर्षभ,7,0.0010259416678880258
95,याति,7,0.0010259416678880258
96,अहं,7,0.0010259416678880258
97,तेषां,7,0.0010259416678880258
98,भक्त्या,7,0.0010259416678880258
99,विशन्ति,7,0.0010259416678880258
100,रूपं,7,0.0010259416678880258
101,अथ,6,0.0008793785724754507
102,तदा,6,0.0008793785724754507
103,यदि,6,0.0008793785724754507
104,येन,6,0.0008793785724754507
105,कृत्वा,6,0.0008793785724754507
106,स्ति,6,0.0008793785724754507
107,सर्वाणि,6,0.0008793785724754507
108,प्राप्य,6,0.0008793785724754507
109,एवं,6,0.0008793785724754507
110,नैव,6,0.0008793785724754507
111,सततं,6,0.0008793785724754507
112,मनो,6,0.0008793785724754507
113,योगं,6,0.0008793785724754507
114,ज्ञात्वा,6,0.0008793785724754507
115,यज्ज्ञात्वा,6,0.0008793785724754507
116,सर्वं,6,0.0008793785724754507
117,सदा,6,0.0008793785724754507
118,यत्र,6,0.0008793785724754507
119,सर्वत्र,6,0.0008793785724754507
120,भूतेषु,6,0.0008793785724754507
121,जनाः,6,0.0008793785724754507
122,भव,6,0.0008793785724754507
123,तव,5,0.0007328154770628756
124,बलं,5,0.0007328154770628756
125,सर्वेषु,5,0.0007328154770628756
126,जायते,5,0.0007328154770628756
127,केशव,5,0.0007328154770628756
128,सो,5,0.0007328154770628756
129,सर्वमिदं,5,0.0007328154770628756
130,पुरुषः,5,0.0007328154770628756
131,जन्म,5,0.0007328154770628756
132,येषां,5,0.0007328154770628756
133,यया,5,0.0007328154770628756
134,बुद्धिः,5,0.0007328154770628756
135,कुरु,5,0.0007328154770628756
136,सङ्गं,5,0.0007328154770628756
137,सिद्धिं,5,0.0007328154770628756
138,मनसा,5,0.0007328154770628756
139,लोको,5,0.0007328154770628756
140,सर्वभूतेषु,5,0.0007328154770628756
141,विदुः,5,0.0007328154770628756
142,योगो,5,0.0007328154770628756
143,तत्त्वतः,5,0.0007328154770628756
144,पर्युपासते,5,0.0007328154770628756
145,जुह्वति,5,0.0007328154770628756
146,पाण्डव,5,0.0007328154770628756
147,समं,5,0.0007328154770628756
148,तेषु,5,0.0007328154770628756
149,नरः,5,0.0007328154770628756
150,श्रद्धया,5,0.0007328154770628756
151,यजन्ते,5,0.0007328154770628756
152,धृतिः,5,0.0007328154770628756
153,ज्ञेयं,5,0.0007328154770628756
154,सर्व,4,0.0005862523816503004
155,श्रेयो,4,0.0005862523816503004
156,राज्यं,4,0.0005862523816503004
157,नो,4,0.0005862523816503004
158,का,4,0.0005862523816503004
159,नियतं,4,0.0005862523816503004
160,भावो,4,0.0005862523816503004
161,मन्यते,4,0.0005862523816503004
162,वेद,4,0.0005862523816503004
163,द्वेष्टि,4,0.0005862523816503004
