rank,word,frequency,relative_frequency
1,ca,25932,0.03293596462038291
2,na,19673,0.024986473545302826
3,paccayo,13887,0.017637734871327217
4,dhammo,13021,0.01653783724055244
5,uppajjati,12833,0.01629906038768216
6,paṭicca,12192,0.015484932926565958
7,tīṇi,10458,0.013282597485730543
8,dhammaṁ,10008,0.012711057146413393
9,ekaṁ,9941,0.012625961140337285
10,tattha,9526,0.01209887393852258
11,dhammā,9356,0.011882958699224991
12,tesaṁ,7460,0.009474868736235403
13,nava,7337,0.009318647710155383
14,hetupaccayā,6990,0.008877926604059715
15,dve,6176,0.007844073634717138
16,dhammassa,6142,0.00780089058685762
17,vā,6137,0.007794540138642985
18,āmantā,6043,0.007675151712207847
19,no,6024,0.007651020008992235
20,khandhā,5668,0.007198868096110224
21,atthi,5289,0.006717504121440891
22,saṅkhittaṁ,5222,0.006632408115364782
23,tassa,4975,0.006318695973561814
24,yassa,4562,0.005794148951032964
25,rūpaṁ,4225,0.005366128741366566
26,hoti,3773,0.004792048222763563
27,khandhe,3712,0.004714572754545016
28,avigate,3530,0.0044834164395323025
29,pana,3521,0.004471985632745959
30,ti,3403,0.004322115054880574
31,paccayā,3299,0.0041900257320161656
32,vattabbe,3293,0.004182405194158603
33,hetuyā,3220,0.004089688650224933
34,pañca,3181,0.00404015515415078
35,yattha,2994,0.0038026483909234313
36,uppajjissati,2932,0.0037239028330619574
37,ceva,2669,0.0033898692569721573
38,satta,2594,0.003294612533752632
39,khandhānaṁ,2524,0.0032057062587477424
40,hevaṁ,2506,0.0031828446451750564
41,siyā,2458,0.0031218803423145604
42,taṁ,2438,0.0030964785494560208
43,ye,2368,0.0030075722744511307
44,hetu,2336,0.0029669294058774667
45,cittaṁ,2290,0.002908505282302825
46,ārammaṇe,2203,0.002798007483368176
47,tayo,2138,0.002715451656577921
48,so,2138,0.002715451656577921
49,vedanāya,2107,0.0026760788776471842
50,samaye,2063,0.0026201949333583964
51,uppajjittha,1989,0.0025262082997817986
52,tato,1981,0.0025160475826383824
53,uppajjanti,1976,0.0025096971344237477
54,nahetu,1972,0.0025046167758520396
55,ārammaṇapaccayena,1877,0.0023839582597739747
56,paṭisandhikkhaṇe,1854,0.002354746197986654
57,puggalo,1836,0.002331884584413968
58,upapajjantānaṁ,1732,0.0021997952615495603
59,cattāri,1723,0.002188364454763217
60,tasmiṁ,1653,0.0020994581797583274
61,upanissayapaccayena,1639,0.0020816769247573494
62,vuccati,1548,0.0019660987672509927
63,cha,1520,0.0019305362572490366
64,nirujjhissati,1466,0.0018619514165309787
65,kusalā,1408,0.001788286217241213
66,ayaṁ,1402,0.001780665679383651
67,yo,1378,0.001750183527953403
68,atthipaccayena,1375,0.001746373259024622
69,dassanena,1367,0.001736212541881206
70,natthi,1331,0.001690489314735834
71,nahetuṁ,1317,0.0016727080597348561
72,adhipatiyā,1307,0.001660007163305586
73,cittassa,1305,0.001657466984019732
74,yaṁ,1300,0.0016511165358050971
75,cakkhāyatanaṁ,1286,0.0016333352808041192
76,khandhaṁ,1281,0.001626984832589484
77,vatthuṁ,1274,0.001618094205088995
78,rūpānaṁ,1273,0.0016168241154460683
79,jhānaṁ,1262,0.0016028531293738712
80,vipāke,1229,0.0015609401711572802
81,abyākato,1222,0.0015520495436567913
82,evaṁ,1218,0.0015469691850850834
83,hetupaccayena,1206,0.0015317281093699593
84,nahetupaccayā,1205,0.0015304580197270322
85,anantarapaccayena,1161,0.0014745740754382444
86,nirujjhati,1160,0.0014733039857953174
