n_min,beta,K,r_squared,max_abs_residual_dex,points
100,0.6643,4.293,0.991584,0.20293,277
117,0.6617,4.422,0.99149,0.1991,273
138,0.6584,4.595,0.991375,0.19427,268
163,0.6557,4.74,0.991272,0.19045,264
192,0.653,4.896,0.991183,0.18653,260
226,0.6494,5.11,0.991095,0.18148,255
267,0.6463,5.296,0.991044,0.17734,251
314,0.6432,5.495,0.990998,0.17318,247
371,0.6392,5.763,0.990957,0.1679,242
437,0.6359,5.999,0.990953,0.16357,238
515,0.6315,6.323,0.99099,0.15801,233
606,0.6281,6.595,0.990999,0.15369,229
714,0.6246,6.877,0.99099,0.14946,225
842,0.6202,7.262,0.991006,0.14411,220
992,0.6165,7.597,0.991039,0.13978,216
1168,0.6128,7.957,0.991086,0.13544,212
1377,0.608,8.441,0.991155,0.13005,207
1622,0.604,8.869,0.991253,0.12564,203
1911,0.6001,9.319,0.991335,0.12134,199
2251,0.595,9.93,0.991462,0.11598,194
2652,0.591,10.452,0.991557,0.11177,190
3125,0.5859,11.138,0.991644,0.10669,185
3682,0.5819,11.727,0.991708,0.10269,181
4337,0.5778,12.358,0.991777,0.09873,177
5110,0.5725,13.23,0.991908,0.09372,172
6020,0.5681,13.99,0.99203,0.08975,168
7093,0.5637,14.81,0.992164,0.08581,164
8356,0.5583,15.902,0.992307,0.08104,159
9845,0.5538,16.853,0.992433,0.07727,155
11598,0.5492,17.896,0.992593,0.0735,151
13664,0.5434,19.33,0.992828,0.06881,146
16098,0.5386,20.593,0.993046,0.0651,142
18965,0.5338,21.945,0.993261,0.06172,138
22343,0.5277,23.794,0.993554,0.05705,133
26323,0.5229,25.393,0.993784,0.0543,129
31011,0.5167,27.578,0.994091,0.04982,124
36535,0.5118,29.48,0.994343,0.04814,120
43042,0.5067,31.564,0.994631,0.04482,116
50708,0.5004,34.378,0.994983,0.04088,111
59740,0.4954,36.822,0.99527,0.03773,107
70381,0.4905,39.403,0.995526,0.03487,103
82917,0.4843,42.913,0.995851,0.03167,98
97685,0.4793,45.967,0.996114,0.02881,94
115084,0.4743,49.27,0.996386,0.02678,90
135582,0.4681,53.737,0.996721,0.0238,85
159731,0.463,57.639,0.996997,0.02168,81
188181,0.4569,62.852,0.997316,0.01851,76
221698,0.4519,67.374,0.997569,0.01685,72
261185,0.4469,72.32,0.997846,0.01506,68
307705,0.4408,78.906,0.998169,0.0124,63
362511,0.436,84.543,0.998414,0.01053,59
427079,0.4313,90.409,0.998624,0.0092,55
503147,0.4254,98.33,0.998886,0.00741,50
592763,0.4208,105.06,0.999081,0.00608,46
698341,0.4163,112.089,0.999255,0.00485,42
822724,0.411,121.19,0.999433,0.0036,37
969260,0.4067,128.926,0.999564,0.0028,33
1141897,0.4027,136.731,0.999663,0.00208,29
1345282,0.3976,147.377,0.999787,0.00139,24
1584893,0.3938,155.848,0.999858,0.00095,20
